Month,Retailer,StoreType,Category,Units
2019 Jul,NORDSTROMPORTAL,B&M,DAYPACK,676 
2019 Jul,NORDSTROMPORTAL,B&M,JACKET/VEST,498 
2019 Jul,NORDSTROMPORTAL,B&M,PANT/CAPRI,36 
2019 Jul,NORDSTROMPORTAL,ECOMMERCE,DAYPACK,"2,674 "
2019 Jul,NORDSTROMPORTAL,ECOMMERCE,JACKET/VEST,969 
2019 Jul,NORDSTROMPORTAL,ECOMMERCE,PANT/CAPRI,"1,350 "
2019 Jul,NORDSTROMPORTAL,OUTLET,DAYPACK,20 
2019 Jul,NORDSTROMPORTAL,OUTLET,JACKET/VEST,66 
2019 Jul,NORDSTROMPORTAL,OUTLET,PANT/CAPRI,522 
2019 Jul,OLYMPIA SPORTS,B&M,DAYPACK,196 
2019 Jul,OLYMPIA SPORTS,B&M,PANT/CAPRI,93 
2019 Jul,OLYMPIA SPORTS,ECOMMERCE,DAYPACK,28 
2019 Jul,PACIFICSUNWEAR,B&M,DAYPACK,158 
2019 Jul,PACIFICSUNWEAR,B&M,PANT/CAPRI,(3)
2019 Jul,PACIFICSUNWEAR,ECOMMERCE,DAYPACK,122 
2019 Jul,PACIFICSUNWEAR,ECOMMERCE,PANT/CAPRI,21 
2019 Jul,PACIFICSUNWEAR,OUTLET,DAYPACK,4 
2019 Jul,PACIFICSUNWEAR,OUTLET,PANT/CAPRI,6 
2019 Jul,PETER GLENN_GREEN MOUNTAIN 3P ,AMAZON,DAYPACK,"2,074 "
2019 Jul,PETER GLENN_GREEN MOUNTAIN 3P ,AMAZON,PANT/CAPRI,138 
2019 Jul,PETER GLENN_GREEN MOUNTAIN 3P ,AMAZON,SLEEPING BAG,26 
2019 Jul,PETER GLENN_GREEN MOUNTAIN 3P ,AMAZON,TENT,8 
2019 Jul,REI,B&M,DAYPACK,"9,084 "
2019 Jul,REI,B&M,JACKET/VEST,60 
2019 Jul,REI,B&M,PANT/CAPRI,"27,030 "
2019 Jul,REI,B&M,SLEEPING BAG,"1,080 "
2019 Jul,REI,B&M,TENT,"1,920 "
2019 Jul,REI,ECOMMERCE,DAYPACK,"1,992 "
2019 Jul,REI,ECOMMERCE,JACKET/VEST,150 
2019 Jul,REI,ECOMMERCE,PANT/CAPRI,"5,160 "
2019 Jul,REI,ECOMMERCE,SLEEPING BAG,"1,130 "
2019 Jul,REI,ECOMMERCE,TENT,574 
2019 Jul,RUNNINGSPECIALTYGROUP,B&M,JACKET/VEST,0 
2019 Jul,RUNNINGSPECIALTYGROUP,B&M,PANT/CAPRI,15 
2019 Jul,RUNNINGSPECIALTYGROUP,ECOMMERCE,PANT/CAPRI,3 
2019 Jul,RUNNINGSPECIALTYGROUP,OTHER,JACKET/VEST,0 
2019 Jul,RUNNINGSPECIALTYGROUP,OTHER,PANT/CAPRI,0 
2019 Jul,SCHEELSSPORTS,B&M,DAYPACK,"9,236 "
2019 Jul,SCHEELSSPORTS,B&M,JACKET/VEST,75 
2019 Jul,SCHEELSSPORTS,B&M,PANT/CAPRI,"13,347 "
2019 Jul,SCHEELSSPORTS,B&M,SLEEPING BAG,506 
2019 Jul,SCHEELSSPORTS,B&M,TENT,256 
2019 Jul,VAILRESORTSRETAIL,B&M,DAYPACK,498 
2019 Jul,VAILRESORTSRETAIL,B&M,JACKET/VEST,75 
2019 Jul,VAILRESORTSRETAIL,B&M,PANT/CAPRI,"1,473 "
2019 Jul,VAILRESORTSRETAIL,B&M,SLEEPING BAG,38 
2019 Jul,VAILRESORTSRETAIL,B&M,TENT,44 
2019 Jul,VAILRESORTSRETAIL,OUTLET,JACKET/VEST,0 
2019 Jul,VAILRESORTSRETAIL,OUTLET,PANT/CAPRI,6 
2019 Jul,VON MAUR,B&M,DAYPACK,348 
2019 Jul,VON MAUR,B&M,JACKET/VEST,0 
2019 Jul,VON MAUR,B&M,PANT/CAPRI,"1,440 "
2019 Jul,VON MAUR,ECOMMERCE,DAYPACK,62 
2019 Jul,VON MAUR,ECOMMERCE,JACKET/VEST,0 
2019 Jul,VON MAUR,ECOMMERCE,PANT/CAPRI,165 
2019 Jul,VON MAUR,OTHER,DAYPACK,4 
2019 Jul,VON MAUR,OTHER,JACKET/VEST,0 
2019 Jul,VON MAUR,OTHER,PANT/CAPRI,48 
2019 Jul,ZAPPOS.COM,AMAZON,DAYPACK,"18,160 "
2019 Jul,ZAPPOS.COM,AMAZON,JACKET/VEST,105 
2019 Jul,ZAPPOS.COM,AMAZON,PANT/CAPRI,"3,072 "
2019 Jul,ZAPPOS.COM,ECOMMERCE,DAYPACK,"3,608 "
2019 Jul,ZAPPOS.COM,ECOMMERCE,JACKET/VEST,126 
2019 Jul,ZAPPOS.COM,ECOMMERCE,PANT/CAPRI,"4,719 "
2019 Jul,ZAPPOS.COM,OTHER,DAYPACK,0 
2019 Jul,ZAPPOS.COM,OTHER,PANT/CAPRI,0 
2019 Jul,ZAPPOS.COM,OUTLET,DAYPACK,300 
2019 Jul,ZAPPOS.COM,OUTLET,JACKET/VEST,87 
2019 Jul,ZAPPOS.COM,OUTLET,PANT/CAPRI,"1,119 "
2019 Aug,AAFES,B&M,DAYPACK,284 
2019 Aug,AAFES,B&M,JACKET/VEST,15 
2019 Aug,AAFES,B&M,PANT/CAPRI,"6,018 "
2019 Aug,AAFES,ECOMMERCE,SLEEPING BAG,0 
2019 Aug,AAFES,OTHER,DAYPACK,(4)
2019 Aug,AAFES,OTHER,PANT/CAPRI,0 
2019 Aug,ACADEMY SPORTS,B&M,DAYPACK,"10,526 "
2019 Aug,ACADEMY SPORTS,B&M,JACKET/VEST,0 
2019 Aug,ACADEMY SPORTS,B&M,PANT/CAPRI,"4,788 "
2019 Aug,ACADEMY SPORTS,B&M,SLEEPING BAG,4 
2019 Aug,ACADEMY SPORTS,B&M,TENT,2 
2019 Aug,ACADEMY SPORTS,ECOMMERCE,DAYPACK,"1,650 "
2019 Aug,ACADEMY SPORTS,ECOMMERCE,PANT/CAPRI,144 
2019 Aug,AlsSportingGoods,OTHER,DAYPACK,894 
2019 Aug,AlsSportingGoods,OTHER,JACKET/VEST,24 
2019 Aug,AlsSportingGoods,OTHER,PANT/CAPRI,333 
2019 Aug,AlsSportingGoods,OTHER,SLEEPING BAG,106 
2019 Aug,AlsSportingGoods,OTHER,TENT,30 
2019 Aug,BACKCOUNTRY,AMAZON,DAYPACK,"2,292 "
2019 Aug,BACKCOUNTRY,AMAZON,JACKET/VEST,27 
2019 Aug,BACKCOUNTRY,AMAZON,PANT/CAPRI,456 
2019 Aug,BACKCOUNTRY,AMAZON,SLEEPING BAG,178 
2019 Aug,BACKCOUNTRY,AMAZON,TENT,296 
2019 Aug,BACKCOUNTRY,ECOMMERCE,DAYPACK,"2,248 "
2019 Aug,BACKCOUNTRY,ECOMMERCE,JACKET/VEST,21 
2019 Aug,BACKCOUNTRY,ECOMMERCE,PANT/CAPRI,"2,079 "
2019 Aug,BACKCOUNTRY,ECOMMERCE,SLEEPING BAG,740 
2019 Aug,BACKCOUNTRY,ECOMMERCE,TENT,556 
2019 Aug,BACKCOUNTRY,OUTLET,DAYPACK,102 
2019 Aug,BACKCOUNTRY,OUTLET,JACKET/VEST,12 
2019 Aug,BACKCOUNTRY,OUTLET,PANT/CAPRI,363 
2019 Aug,BACKCOUNTRY,OUTLET,SLEEPING BAG,44 
2019 Aug,BACKCOUNTRY,OUTLET,TENT,16 
2019 Aug,BassPro Domo,B&M,DAYPACK,"1,326 "
2019 Aug,BassPro Domo,B&M,JACKET/VEST,12 
2019 Aug,BassPro Domo,B&M,PANT/CAPRI,"1,500 "
2019 Aug,BassPro Domo,B&M,SLEEPING BAG,4 
2019 Aug,BassPro Domo,B&M,TENT,48 
2019 Aug,BassPro Domo,ECOMMERCE,PANT/CAPRI,90 
2019 Aug,BassPro Domo,ECOMMERCE,TENT,4 
2019 Aug,BassPro Domo,OUTLET,JACKET/VEST,0 
2019 Aug,BassPro Domo,OUTLET,PANT/CAPRI,3 
2019 Aug,BassPro Domo,OUTLET,SLEEPING BAG,0 
2019 Aug,BassPro Domo,OUTLET,TENT,2 
2019 Aug,BLOOMINGDALES,ECOMMERCE,PANT/CAPRI,(3)
2019 Aug,BOBS STORES,B&M,DAYPACK,6 
2019 Aug,BOBS STORES,B&M,JACKET/VEST,0 
2019 Aug,BOBS STORES,B&M,PANT/CAPRI,3 
2019 Aug,BOBS STORES,B&M,SLEEPING BAG,0 
2019 Aug,BOBS STORES,B&M,TENT,0 
2019 Aug,BOBS STORES,ECOMMERCE,DAYPACK,0 
2019 Aug,BOBS STORES,ECOMMERCE,JACKET/VEST,0 
2019 Aug,BOBS STORES,ECOMMERCE,PANT/CAPRI,0 
2019 Aug,BOBS STORES,ECOMMERCE,SLEEPING BAG,0 
2019 Aug,BOBS STORES,ECOMMERCE,TENT,0 
2019 Aug,CabelasDomo,B&M,DAYPACK,"2,372 "
2019 Aug,CabelasDomo,B&M,PANT/CAPRI,"7,218 "
2019 Aug,CabelasDomo,B&M,SLEEPING BAG,6 
2019 Aug,CabelasDomo,B&M,TENT,66 
2019 Aug,CabelasDomo,ECOMMERCE,DAYPACK,6 
2019 Aug,CabelasDomo,ECOMMERCE,PANT/CAPRI,528 
2019 Aug,CabelasDomo,ECOMMERCE,TENT,16 
2019 Aug,ChampaignSurplus,OTHER,DAYPACK,"5,566 "
2019 Aug,ChampaignSurplus,OTHER,JACKET/VEST,42 
2019 Aug,ChampaignSurplus,OTHER,PANT/CAPRI,"1,638 "
2019 Aug,ChampaignSurplus,OTHER,SLEEPING BAG,62 
2019 Aug,ChampaignSurplus,OTHER,TENT,24 
2019 Aug,DICKS SPORTING GOODS,B&M,DAYPACK,"206,010 "
2019 Aug,DICKS SPORTING GOODS,B&M,JACKET/VEST,492 
2019 Aug,DICKS SPORTING GOODS,B&M,PANT/CAPRI,"12,552 "
2019 Aug,DICKS SPORTING GOODS,B&M,SLEEPING BAG,"2,964 "
2019 Aug,DICKS SPORTING GOODS,B&M,TENT,422 
2019 Aug,DICKS SPORTING GOODS,ECOMMERCE,DAYPACK,"37,794 "
2019 Aug,DICKS SPORTING GOODS,ECOMMERCE,JACKET/VEST,399 
2019 Aug,DICKS SPORTING GOODS,ECOMMERCE,PANT/CAPRI,"1,911 "
2019 Aug,DICKS SPORTING GOODS,ECOMMERCE,SLEEPING BAG,144 
2019 Aug,DICKS SPORTING GOODS,ECOMMERCE,TENT,40 
2019 Aug,DICKS SPORTING GOODS,OUTLET,DAYPACK,0 
2019 Aug,DICKS SPORTING GOODS,OUTLET,JACKET/VEST,39 
2019 Aug,DICKS SPORTING GOODS,OUTLET,PANT/CAPRI,93 
2019 Aug,DICKS SPORTING GOODS,OUTLET,SLEEPING BAG,0 
2019 Aug,DILLARDS,B&M,DAYPACK,"5,386 "
2019 Aug,DILLARDS,B&M,JACKET/VEST,"1,398 "
2019 Aug,DILLARDS,B&M,PANT/CAPRI,"22,236 "
2019 Aug,DILLARDS,B&M,SLEEPING BAG,0 
2019 Aug,DILLARDS,B&M,TENT,92 
2019 Aug,DILLARDS,ECOMMERCE,DAYPACK,236 
2019 Aug,DILLARDS,ECOMMERCE,JACKET/VEST,30 
2019 Aug,DILLARDS,ECOMMERCE,PANT/CAPRI,"1,596 "
2019 Aug,DILLARDS,ECOMMERCE,SLEEPING BAG,0 
2019 Aug,DILLARDS,ECOMMERCE,TENT,0 
2019 Aug,EASTERN MOUNTAIN SPORTS,B&M,DAYPACK,"1,842 "
2019 Aug,EASTERN MOUNTAIN SPORTS,B&M,JACKET/VEST,42 
2019 Aug,EASTERN MOUNTAIN SPORTS,B&M,PANT/CAPRI,"1,275 "
2019 Aug,EASTERN MOUNTAIN SPORTS,B&M,SLEEPING BAG,24 
2019 Aug,EASTERN MOUNTAIN SPORTS,B&M,TENT,42 
2019 Aug,EASTERN MOUNTAIN SPORTS,ECOMMERCE,DAYPACK,252 
2019 Aug,EASTERN MOUNTAIN SPORTS,ECOMMERCE,JACKET/VEST,15 
2019 Aug,EASTERN MOUNTAIN SPORTS,ECOMMERCE,PANT/CAPRI,183 
2019 Aug,EASTERN MOUNTAIN SPORTS,ECOMMERCE,SLEEPING BAG,8 
2019 Aug,EASTERN MOUNTAIN SPORTS,ECOMMERCE,TENT,10 
2019 Aug,FIELDANDSTREAM,B&M,DAYPACK,6 
2019 Aug,FIELDANDSTREAM,B&M,PANT/CAPRI,78 
2019 Aug,FIELDANDSTREAM,B&M,SLEEPING BAG,108 
2019 Aug,FIELDANDSTREAM,B&M,TENT,30 
2019 Aug,FIELDANDSTREAM,ECOMMERCE,PANT/CAPRI,12 
2019 Aug,FIELDANDSTREAM,ECOMMERCE,SLEEPING BAG,16 
2019 Aug,FIELDANDSTREAM,ECOMMERCE,TENT,2 
2019 Aug,FINISH LINE,B&M,DAYPACK,502 
2019 Aug,FINISH LINE,B&M,PANT/CAPRI,0 
2019 Aug,FINISH LINE,ECOMMERCE,DAYPACK,128 
2019 Aug,"FOOT LOCKER, INC.",OTHER,DAYPACK,198 
2019 Aug,"FOOT LOCKER, INC.",OTHER,PANT/CAPRI,"1,590 "
2019 Aug,HALFMOONOUTFITTERS,OTHER,DAYPACK,388 
2019 Aug,HALFMOONOUTFITTERS,OTHER,PANT/CAPRI,105 
2019 Aug,HALFMOONOUTFITTERS,OTHER,SLEEPING BAG,0 
2019 Aug,HALFMOONOUTFITTERS,OTHER,TENT,0 
2019 Aug,HIBBETT SPORTS,B&M,DAYPACK,"13,878 "
2019 Aug,HIBBETT SPORTS,B&M,JACKET/VEST,27 
2019 Aug,HIBBETT SPORTS,B&M,PANT/CAPRI,"1,584 "
2019 Aug,HIBBETT SPORTS,ECOMMERCE,DAYPACK,"2,406 "
2019 Aug,HIBBETT SPORTS,ECOMMERCE,PANT/CAPRI,126 
2019 Aug,JIMMYJAZZ,OTHER,DAYPACK,410 
2019 Aug,JIMMYJAZZ,OTHER,PANT/CAPRI,210 
2019 Aug,MACYS,B&M,DAYPACK,"14,074 "
2019 Aug,MACYS,B&M,JACKET/VEST,0 
2019 Aug,MACYS,B&M,PANT/CAPRI,"10,785 "
2019 Aug,MACYS,ECOMMERCE,DAYPACK,"3,708 "
2019 Aug,MACYS,ECOMMERCE,PANT/CAPRI,"3,615 "
2019 Aug,MARINECORPSEXCHANGE,B&M,DAYPACK,296 
2019 Aug,MARINECORPSEXCHANGE,B&M,JACKET/VEST,0 
2019 Aug,MARINECORPSEXCHANGE,B&M,PANT/CAPRI,414 
2019 Aug,MODELLS,B&M,DAYPACK,"4,324 "
2019 Aug,MODELLS,ECOMMERCE,DAYPACK,212 
2019 Aug,MOOSEJAW,B&M,DAYPACK,438 
2019 Aug,MOOSEJAW,B&M,JACKET/VEST,15 
2019 Aug,MOOSEJAW,B&M,PANT/CAPRI,204 
2019 Aug,MOOSEJAW,B&M,SLEEPING BAG,16 
2019 Aug,MOOSEJAW,B&M,TENT,6 
2019 Aug,MOOSEJAW,ECOMMERCE,DAYPACK,"3,860 "
2019 Aug,MOOSEJAW,ECOMMERCE,JACKET/VEST,249 
2019 Aug,MOOSEJAW,ECOMMERCE,PANT/CAPRI,"1,761 "
2019 Aug,MOOSEJAW,ECOMMERCE,SLEEPING BAG,242 
2019 Aug,MOOSEJAW,ECOMMERCE,TENT,238 
2019 Aug,MOOSEJAW,OUTLET,DAYPACK,"1,386 "
2019 Aug,MOOSEJAW,OUTLET,JACKET/VEST,66 
2019 Aug,MOOSEJAW,OUTLET,PANT/CAPRI,468 
2019 Aug,MOOSEJAW,OUTLET,SLEEPING BAG,16 
2019 Aug,MOOSEJAW,OUTLET,TENT,4 
2019 Aug,NEIMAN MARCUS,B&M,JACKET/VEST,3 
2019 Aug,NEIMAN MARCUS,B&M,PANT/CAPRI,6 
2019 Aug,NEIMAN MARCUS,ECOMMERCE,PANT/CAPRI,21 
2019 Aug,NEIMAN MARCUS,OTHER,JACKET/VEST,0 
2019 Aug,NEIMAN MARCUS,OTHER,PANT/CAPRI,0 
2019 Aug,NEXCOM,B&M,DAYPACK,"4,192 "
2019 Aug,NEXCOM,B&M,PANT/CAPRI,"1,725 "
2019 Aug,NEXCOM,B&M,SLEEPING BAG,4 
2019 Aug,NEXCOM,B&M,TENT,4 
2019 Aug,NEXCOM,ECOMMERCE,DAYPACK,188 
2019 Aug,NEXCOM,ECOMMERCE,PANT/CAPRI,57 
2019 Aug,NORDSTROMPORTAL,B&M,DAYPACK,"1,594 "
2019 Aug,NORDSTROMPORTAL,B&M,JACKET/VEST,24 
2019 Aug,NORDSTROMPORTAL,B&M,PANT/CAPRI,60 
2019 Aug,NORDSTROMPORTAL,ECOMMERCE,DAYPACK,"1,966 "
2019 Aug,NORDSTROMPORTAL,ECOMMERCE,JACKET/VEST,(45)
2019 Aug,NORDSTROMPORTAL,ECOMMERCE,PANT/CAPRI,"1,134 "
2019 Aug,NORDSTROMPORTAL,OUTLET,DAYPACK,18 
2019 Aug,NORDSTROMPORTAL,OUTLET,JACKET/VEST,24 
2019 Aug,NORDSTROMPORTAL,OUTLET,PANT/CAPRI,207 
2019 Aug,OLYMPIA SPORTS,B&M,DAYPACK,"1,508 "
2019 Aug,OLYMPIA SPORTS,B&M,PANT/CAPRI,120 
2019 Aug,OLYMPIA SPORTS,ECOMMERCE,DAYPACK,142 
2019 Aug,PACIFICSUNWEAR,B&M,DAYPACK,696 
2019 Aug,PACIFICSUNWEAR,B&M,PANT/CAPRI,117 
2019 Aug,PACIFICSUNWEAR,ECOMMERCE,DAYPACK,520 
2019 Aug,PACIFICSUNWEAR,ECOMMERCE,PANT/CAPRI,9 
2019 Aug,PACIFICSUNWEAR,OUTLET,DAYPACK,16 
2019 Aug,PACIFICSUNWEAR,OUTLET,PANT/CAPRI,48 
2019 Aug,PETER GLENN_GREEN MOUNTAIN 3P ,AMAZON,DAYPACK,"1,912 "
2019 Aug,PETER GLENN_GREEN MOUNTAIN 3P ,AMAZON,PANT/CAPRI,171 
2019 Aug,PETER GLENN_GREEN MOUNTAIN 3P ,AMAZON,SLEEPING BAG,14 
2019 Aug,PETER GLENN_GREEN MOUNTAIN 3P ,AMAZON,TENT,10 
2019 Aug,REI,B&M,DAYPACK,"11,988 "
2019 Aug,REI,B&M,JACKET/VEST,273 
2019 Aug,REI,B&M,PANT/CAPRI,"15,525 "
2019 Aug,REI,B&M,SLEEPING BAG,"1,210 "
2019 Aug,REI,B&M,TENT,"1,378 "
2019 Aug,REI,ECOMMERCE,DAYPACK,"2,130 "
2019 Aug,REI,ECOMMERCE,JACKET/VEST,"1,026 "
2019 Aug,REI,ECOMMERCE,PANT/CAPRI,"7,455 "
2019 Aug,REI,ECOMMERCE,SLEEPING BAG,980 
2019 Aug,REI,ECOMMERCE,TENT,522 
2019 Aug,RUNNINGSPECIALTYGROUP,B&M,JACKET/VEST,0 
2019 Aug,RUNNINGSPECIALTYGROUP,B&M,PANT/CAPRI,9 
2019 Aug,RUNNINGSPECIALTYGROUP,ECOMMERCE,PANT/CAPRI,12 
2019 Aug,RUNNINGSPECIALTYGROUP,OTHER,JACKET/VEST,0 
2019 Aug,RUNNINGSPECIALTYGROUP,OTHER,PANT/CAPRI,0 
2019 Aug,SCHEELSSPORTS,B&M,DAYPACK,"16,944 "
2019 Aug,SCHEELSSPORTS,B&M,JACKET/VEST,57 
2019 Aug,SCHEELSSPORTS,B&M,PANT/CAPRI,"16,005 "
2019 Aug,SCHEELSSPORTS,B&M,SLEEPING BAG,382 
2019 Aug,SCHEELSSPORTS,B&M,TENT,300 
2019 Aug,VAILRESORTSRETAIL,B&M,DAYPACK,476 
2019 Aug,VAILRESORTSRETAIL,B&M,JACKET/VEST,75 
2019 Aug,VAILRESORTSRETAIL,B&M,PANT/CAPRI,"1,737 "
2019 Aug,VAILRESORTSRETAIL,B&M,SLEEPING BAG,120 
2019 Aug,VAILRESORTSRETAIL,B&M,TENT,34 
2019 Aug,VAILRESORTSRETAIL,OUTLET,JACKET/VEST,3 
2019 Aug,VAILRESORTSRETAIL,OUTLET,PANT/CAPRI,6 
2019 Aug,VON MAUR,B&M,DAYPACK,430 
2019 Aug,VON MAUR,B&M,JACKET/VEST,0 
2019 Aug,VON MAUR,B&M,PANT/CAPRI,"1,143 "
2019 Aug,VON MAUR,ECOMMERCE,DAYPACK,66 
2019 Aug,VON MAUR,ECOMMERCE,JACKET/VEST,0 
2019 Aug,VON MAUR,ECOMMERCE,PANT/CAPRI,153 
2019 Aug,VON MAUR,OTHER,DAYPACK,10 
2019 Aug,VON MAUR,OTHER,JACKET/VEST,0 
2019 Aug,VON MAUR,OTHER,PANT/CAPRI,33 
2019 Aug,ZAPPOS.COM,AMAZON,DAYPACK,"22,002 "
2019 Aug,ZAPPOS.COM,AMAZON,JACKET/VEST,21 
2019 Aug,ZAPPOS.COM,AMAZON,PANT/CAPRI,"2,631 "
2019 Aug,ZAPPOS.COM,ECOMMERCE,DAYPACK,"4,562 "
2019 Aug,ZAPPOS.COM,ECOMMERCE,JACKET/VEST,159 
2019 Aug,ZAPPOS.COM,ECOMMERCE,PANT/CAPRI,"4,269 "
2019 Aug,ZAPPOS.COM,OTHER,DAYPACK,0 
2019 Aug,ZAPPOS.COM,OTHER,PANT/CAPRI,0 
2019 Aug,ZAPPOS.COM,OUTLET,DAYPACK,274 
2019 Aug,ZAPPOS.COM,OUTLET,JACKET/VEST,180 
2019 Aug,ZAPPOS.COM,OUTLET,PANT/CAPRI,"1,296 "
2019 Sep,AAFES,B&M,DAYPACK,168 
2019 Sep,AAFES,B&M,JACKET/VEST,6 
2019 Sep,AAFES,B&M,PANT/CAPRI,"7,395 "
2019 Sep,AAFES,ECOMMERCE,SLEEPING BAG,0 
2019 Sep,AAFES,OTHER,PANT/CAPRI,(51)
2019 Sep,ACADEMY SPORTS,B&M,DAYPACK,"2,390 "
2019 Sep,ACADEMY SPORTS,B&M,JACKET/VEST,0 
2019 Sep,ACADEMY SPORTS,B&M,PANT/CAPRI,"5,598 "
2019 Sep,ACADEMY SPORTS,B&M,SLEEPING BAG,14 
2019 Sep,ACADEMY SPORTS,B&M,TENT,10 
2019 Sep,ACADEMY SPORTS,ECOMMERCE,DAYPACK,282 
2019 Sep,ACADEMY SPORTS,ECOMMERCE,PANT/CAPRI,72 
2019 Sep,AlsSportingGoods,OTHER,DAYPACK,290 
2019 Sep,AlsSportingGoods,OTHER,JACKET/VEST,3 
2019 Sep,AlsSportingGoods,OTHER,PANT/CAPRI,303 
2019 Sep,AlsSportingGoods,OTHER,SLEEPING BAG,104 
2019 Sep,AlsSportingGoods,OTHER,TENT,44 
2019 Sep,BACKCOUNTRY,AMAZON,DAYPACK,"1,002 "
2019 Sep,BACKCOUNTRY,AMAZON,JACKET/VEST,(9)
2019 Sep,BACKCOUNTRY,AMAZON,PANT/CAPRI,699 
2019 Sep,BACKCOUNTRY,AMAZON,SLEEPING BAG,140 
2019 Sep,BACKCOUNTRY,AMAZON,TENT,92 
2019 Sep,BACKCOUNTRY,ECOMMERCE,DAYPACK,590 
2019 Sep,BACKCOUNTRY,ECOMMERCE,JACKET/VEST,30 
2019 Sep,BACKCOUNTRY,ECOMMERCE,PANT/CAPRI,"2,622 "
2019 Sep,BACKCOUNTRY,ECOMMERCE,SLEEPING BAG,846 
2019 Sep,BACKCOUNTRY,ECOMMERCE,TENT,306 
2019 Sep,BACKCOUNTRY,OUTLET,DAYPACK,86 
2019 Sep,BACKCOUNTRY,OUTLET,JACKET/VEST,33 
2019 Sep,BACKCOUNTRY,OUTLET,PANT/CAPRI,828 
2019 Sep,BACKCOUNTRY,OUTLET,SLEEPING BAG,6 
2019 Sep,BACKCOUNTRY,OUTLET,TENT,10 
2019 Sep,BassPro Domo,B&M,DAYPACK,754 
2019 Sep,BassPro Domo,B&M,JACKET/VEST,3 
2019 Sep,BassPro Domo,B&M,PANT/CAPRI,"1,353 "
2019 Sep,BassPro Domo,B&M,SLEEPING BAG,6 
2019 Sep,BassPro Domo,B&M,TENT,62 
2019 Sep,BassPro Domo,ECOMMERCE,PANT/CAPRI,84 
2019 Sep,BassPro Domo,ECOMMERCE,TENT,2 
2019 Sep,BassPro Domo,OUTLET,JACKET/VEST,0 
2019 Sep,BassPro Domo,OUTLET,PANT/CAPRI,0 
2019 Sep,BassPro Domo,OUTLET,SLEEPING BAG,0 
2019 Sep,BassPro Domo,OUTLET,TENT,2 
2019 Sep,BLOOMINGDALES,ECOMMERCE,PANT/CAPRI,0 
2019 Sep,BOBS STORES,B&M,DAYPACK,2 
2019 Sep,BOBS STORES,B&M,JACKET/VEST,0 
2019 Sep,BOBS STORES,B&M,PANT/CAPRI,0 
2019 Sep,BOBS STORES,B&M,SLEEPING BAG,0 
2019 Sep,BOBS STORES,B&M,TENT,0 
2019 Sep,BOBS STORES,ECOMMERCE,DAYPACK,0 
2019 Sep,BOBS STORES,ECOMMERCE,JACKET/VEST,0 
2019 Sep,BOBS STORES,ECOMMERCE,PANT/CAPRI,0 
2019 Sep,BOBS STORES,ECOMMERCE,SLEEPING BAG,0 
2019 Sep,BOBS STORES,ECOMMERCE,TENT,0 
2019 Sep,CabelasDomo,B&M,DAYPACK,"1,200 "
2019 Sep,CabelasDomo,B&M,PANT/CAPRI,"5,301 "
2019 Sep,CabelasDomo,B&M,SLEEPING BAG,8 
2019 Sep,CabelasDomo,B&M,TENT,52 
2019 Sep,CabelasDomo,ECOMMERCE,PANT/CAPRI,498 
2019 Sep,CabelasDomo,ECOMMERCE,TENT,20 
2019 Sep,ChampaignSurplus,OTHER,DAYPACK,652 
2019 Sep,ChampaignSurplus,OTHER,JACKET/VEST,9 
2019 Sep,ChampaignSurplus,OTHER,PANT/CAPRI,"1,374 "
2019 Sep,ChampaignSurplus,OTHER,SLEEPING BAG,74 
2019 Sep,ChampaignSurplus,OTHER,TENT,18 
2019 Sep,DICKS SPORTING GOODS,B&M,DAYPACK,"27,492 "
2019 Sep,DICKS SPORTING GOODS,B&M,JACKET/VEST,930 
2019 Sep,DICKS SPORTING GOODS,B&M,PANT/CAPRI,"20,592 "
2019 Sep,DICKS SPORTING GOODS,B&M,SLEEPING BAG,"2,902 "
2019 Sep,DICKS SPORTING GOODS,B&M,TENT,350 
2019 Sep,DICKS SPORTING GOODS,ECOMMERCE,DAYPACK,"5,804 "
2019 Sep,DICKS SPORTING GOODS,ECOMMERCE,JACKET/VEST,39 
2019 Sep,DICKS SPORTING GOODS,ECOMMERCE,PANT/CAPRI,"1,956 "
2019 Sep,DICKS SPORTING GOODS,ECOMMERCE,SLEEPING BAG,166 
2019 Sep,DICKS SPORTING GOODS,ECOMMERCE,TENT,144 
2019 Sep,DICKS SPORTING GOODS,OUTLET,JACKET/VEST,48 
2019 Sep,DICKS SPORTING GOODS,OUTLET,PANT/CAPRI,162 
2019 Sep,DICKS SPORTING GOODS,OUTLET,SLEEPING BAG,0 
2019 Sep,DILLARDS,B&M,DAYPACK,"2,592 "
2019 Sep,DILLARDS,B&M,JACKET/VEST,204 
2019 Sep,DILLARDS,B&M,PANT/CAPRI,"23,625 "
2019 Sep,DILLARDS,B&M,SLEEPING BAG,0 
2019 Sep,DILLARDS,B&M,TENT,140 
2019 Sep,DILLARDS,ECOMMERCE,DAYPACK,66 
2019 Sep,DILLARDS,ECOMMERCE,JACKET/VEST,9 
2019 Sep,DILLARDS,ECOMMERCE,PANT/CAPRI,588 
2019 Sep,DILLARDS,ECOMMERCE,SLEEPING BAG,0 
2019 Sep,DILLARDS,ECOMMERCE,TENT,0 
2019 Sep,EASTERN MOUNTAIN SPORTS,B&M,DAYPACK,758 
2019 Sep,EASTERN MOUNTAIN SPORTS,B&M,JACKET/VEST,33 
